subj;zr iid_diff;a  iid_diff;v  iid_diff;t0  iid_diff;zr iid_same;a iid_same;v iid_same;t0 iid_same;zr rdw_diff;a  rdw_diff;v  rdw_diff;t0  rdw_diff;zr  rdw_same;a rdw_same;v rdw_same;t0 rdw_same
0;0,49995;0,987956;0,478805;0,327612;0,406259;0,938234;1,528237;0,350875;0,324968;1,142031;2,667272;0,338168;0,361164;1,024865;2,448486;0,351479
1;0,352965;0,998861;2,857705;0,241387;0,289471;1,117663;3,676924;0,239449;0,406259;0,916663;2,368958;0,326498;0,259274;1,599628;3,683473;0,153322
2;0,588241;0,996967;-0,156389;0,338838;0,433357;0,888194;2,258056;0,301312;0,282572;1,3177;4,37785;0,222611;0,628537;2,020457;2,951665;0,18489
3;0,533347;0,883123;0,044975;0,253286;0,558844;0,973916;0,264304;0,20476;0,305569;1,03514;3,411833;0,159436;0,249975;1,148014;4,154852;0,115248
4;0,531247;0,959284;0,02292;0,340655;0,533347;0,898124;0,639763;0,333966;0,249975;0,682341;5,406136;0,311857;0,166683;1,395997;5,420125;0,147626
5;0,552645;1,097852;0,181362;0,307286;0,558844;1,020353;0,35194;0,347638;0,382362;0,970521;1,256075;0,31629;0,476152;1,217935;1,189887;0,233055
6;0,522748;1,286857;0,086685;0,309289;0,568243;1,289399;0,611957;0,286198;0,40476;1,205492;2,008942;0,293729;0,50005;1,092738;1,5719;0,245032
7;0,49995;0,923172;0,344349;0,093471;0,50005;0,863229;0,3202;0,093368;0,343766;0,920446;1,955669;0,112291;0,238076;1,257129;3,334854;0,041837
8;0,50005;0,908362;0,920034;0,129986;0,466653;0,873327;1,701028;0,163385;0,235276;0,996276;4,909594;0,207556;0,289471;1,109969;4,086902;0,152313
9;0,647135;0,966299;-0,74338;0,378328;0,50005;0,903221;1,068185;0,326156;0,576942;0,780609;0,990622;0,357031;0,656234;0,925341;0,390905;0,326428
10;0,526347;1,096139;0,805266;0,164777;0,425057;1,162756;1,393709;0,07907;0,249975;1,296033;2,984718;0,066041;0,239976;1,471781;3,911346;0,063753
11;0,583342;1,038494;0,174856;0,348568;0,529447;1,01615;0,740987;0,336984;0,230777;1,510221;3,01217;0,118729;0,224178;1,669929;3,474804;0,043939
12;0,50005;0,872113;0,019072;0,238783;0,529447;0,996794;0,783526;0,165486;0,333367;1,024912;2,904703;0,214496;0,282672;1,333475;3,197152;0,108492
13;0,50005;1,073825;0,555853;0,043501;0,472253;1,027242;0,99495;0,05267;0,281272;0,931295;2,393151;0,110858;0,361164;1,071265;2,401527;0,048746
14;0,473753;1,136782;-0,127438;0,514761;0,642836;1,259112;0,224701;0,477515;0,770823;1,434787;-0,111936;0,50002;0,666633;1,214503;0,252138;0,44614
15;0,481452;1,601692;0,545763;0,156445;0,314869;1,584783;1,445121;0,113146;0,363664;1,305386;1,711787;0,276959;0,375062;1,179471;1,813233;0,25156
16;0,529447;0,98752;0,154561;0,332412;0,588241;1,020326;0,314195;0,300219;0,305569;1,025071;3,348095;0,220058;0,315768;1,093641;3,131315;0,172913
17;0,50005;0,965705;0,671558;0,071226;0,437556;0,958445;1,149512;0,036679;0,375062;0,915076;1,672548;0,186265;0,50005;1,020837;1,137695;0,098131
18;0,437556;0,960982;1,537128;0,298944;0,342166;1,086484;2,526622;0,251854;0,285671;1,224478;4,153689;0,230553;0,354165;1,434744;4,560455;0,189066
19;0,441156;0,99104;1,097225;0,242727;0,593741;0,907959;0,027459;0,285698;0,361164;1,054214;2,880818;0,174239;0,230777;1,493381;3,939317;0,040298
20;0,392861;0,829206;1,643999;0,047646;0,333367;0,880598;2,648636;0,059259;0,357164;0,795546;2,063945;0,07564;0,277772;1,025394;2,753615;0,009414
21;0,388861;1,02489;1,858167;0,213317;0,333367;1,215195;2,287901;0,171213;0,437456;0,91285;2,420953;0,250365;0,274973;1,185317;3,63927;0,149422
22;0,555544;1,044651;0,339926;0,232171;0,350065;1,167936;2,252103;0,188244;0,282672;1,32081;3,189078;0,162471;0,30437;1,317759;3,027228;0,148129
23;0,447355;1,128797;0,122746;0,000035;0,527747;1,04854;0,261236;0,000005;0,49995;1,214779;0,440402;0,000013;0,631537;1,088903;0,268782;0,033912
24;0,50005;0,773726;0,285387;0,257179;0,352965;0,966305;1,955167;0,169348;0,249975;1,055473;3,544058;0,18339;0,261974;1,210133;3,291438;0,113143
