dataset;a_iid_diff;t0_iid_diff;a_iid_same;t0_iid_same;a_rdw_diff;t0_rdw_diff;a_rdw_same;t0_rdw_same;v_iid_diff;v_iid_same;v_rdw_diff;v_rdw_same
0;0.987957;0.327611;0.933989;0.363815;1.021853;0.384462;0.965628;0.380314;0.19611;1.512687;2.17098;2.478602
1;0.914393;0.271836;0.880509;0.29552;0.878007;0.344954;1.146787;0.264475;2.926845;3.475179;2.614809;2.221743
2;0.923773;0.362202;0.851038;0.314802;1.903287;0.210527;1.49331;0.20815;-0.115259;2.652997;3.559567;3.388548
3;0.852111;0.26319;0.898531;0.219825;0.812549;0.216083;1.434483;0.101162;0.15406;0.032227;4.102585;3.991977
4;0.90271;0.353418;0.737697;0.373183;0.541299;0.331279;3.133137;0.089014;-0.030124;0.801667;4.178505;5.034576
5;1.114552;0.291703;0.981304;0.353164;0.933499;0.339327;1.061649;0.291177;0.256854;0.450347;1.559216;1.552284
6;1.29949;0.307123;1.251473;0.284679;1.129007;0.329022;1.076129;0.25444;0.112074;1.008882;2.211186;1.621373
7;0.896173;0.101107;0.863228;0.093366;0.898018;0.126141;0.971632;0.119894;0.329457;-0.193913;1.936656;2.707327
8;0.908423;0.129963;0.867773;0.168315;0.721358;0.256848;1.088778;0.174998;0.896433;1.808679;5.680717;4.33065
9;0.798129;0.42116;0.851445;0.339678;0.701215;0.369598;0.732067;0.332509;-0.553955;1.28565;-0.063402;1.449804
10;1.098647;0.163466;1.145432;0.101405;0.996109;0.154328;3.06212;0.000002;0.928819;1.125281;2.257042;2.945438
11;0.968548;0.354802;0.909855;0.354816;3.230544;0.000001;2.429777;0.030825;0.279414;0.464367;2.622032;3.204566
12;0.871823;0.238869;1.013536;0.152652;0.931206;0.247492;1.047805;0.189545;-0.187055;0.835688;2.944975;2.522396
13;1.073816;0.043514;1.026919;0.058462;0.851967;0.14144;0.975252;0.086445;0.661452;1.049599;2.612811;2.604271
14;0.890421;0.58926;0.977506;0.536869;0.928829;0.51653;1.068161;0.441374;-0.096671;0.579388;0.414374;0.605642
15;1.465956;0.227472;1.428265;0.217198;1.163852;0.343234;1.06806;0.306174;0.962694;1.646277;1.503391;2.25204
16;0.82477;0.270499;0.767997;0.279382;0.919378;0.179565;1.441913;0.069448;1.200243;0.777718;3.413622;2.91459
17;0.90034;0.349896;0.966011;0.309498;0.739792;0.289302;0.834571;0.244978;0.232154;0.320723;5.120325;3.957236
18;0.950893;0.073227;0.956703;0.048162;0.995538;0.176271;0.986469;0.11657;0.665182;1.498365;1.577094;1.130064
19;0.937431;0.314011;0.96684;0.296669;3.073541;0.151465;5.12426;0.029437;1.620766;2.464007;4.229291;4.344352
20;0.854578;0.26985;0.822432;0.249665;0.912809;0.208094;2.82422;3.1e-05;-0.113971;0.943819;3.567515;3.294792
21;0.943279;0.072976;1.035681;0.048534;1.025446;0.188952;1.040021;0.143401;1.477086;1.500709;2.458808;1.61287
22;0.94063;0.268527;0.727345;0.313249;0.890568;0.219772;2.781267;0.000006;1.156223;-0.232669;3.640172;2.859522
23;0.819728;0.060017;0.803532;0.089878;0.76283;0.092907;0.809913;0.075789;2.649071;3.86066;2.699976;3.885991
24;0.942449;0.251258;0.994211;0.2509;0.770513;0.282417;1.223707;0.163035;2.130588;2.298802;4.823413;3.598626
25;0.914624;0.286558;0.833042;0.282008;0.827329;0.217964;3.121504;9.8e-05;-0.105049;-0.101121;4.086318;3.485186
26;1.026642;0.238665;1.108055;0.225906;1.067645;0.233556;1.317725;0.170241;0.338728;2.031601;2.400738;2.281419
27;0.773702;0.257191;0.914465;0.202087;0.814382;0.244578;0.958838;0.183497;-0.155413;1.981648;4.020712;2.841639
