subj;NOT_EQUAL_5 RT;EQUAL_5 RT;NOT_EQUAL_15 RT;EQUAL_15 RT
0;0,74436;0,71294;0,771591837;0,813408163
1;0,68308;0,79604;0,734729167;0,84418
2;1,02812;0,99974;1,153595745;1,26152
3;0,78346;0,78798;0,6764;0,707816327
4;1,031791667;0,86924;0,89172;0,81202
5;0,57706;0,54726;0,57922;0,56612
6;0,614183673;0,62755102;0,6461;0,73322
7;0,674918367;0,67976;0,698265306;0,661387755
8;0,847729167;0,94642;0,8502;0,97298
9;0,64182;0,61674;0,73022;0,69532
10;0,6348;0,65964;0,64077551;0,59274
11;0,56494;0,66432;0,842142857;0,86956
12;0,619693878;0,74096;0,6684375;0,766204082
13;0,6806;0,71876;0,54098;0,59566
14;1,26472;1,198285714;1,04262;1,073040816
15;0,98998;0,8934;0,825;0,8581
16;1,06154;1,1023;1,05626;1,2691
17;0,77524;0,80558;0,73236;0,83024
18;0,64514;0,646591837;0,608346939;0,629428571
19;0,65654;0,736734694;0,87036;0,940166667
20;0,97155102;0,996;0,71424;0,811
21;0,64506;0,689469388;0,59678;0,623346939
