inex path;index path 2;path;cond;mean_cond;Mean;Mean_last15;Mean_last10;Mean_last5;Standard Deviation;last visibl;Count 0 (right resp);Count 1 (left resp);correct;error;mean=last15;mean=last10;mean=last5;ok;more corr answ
0;0;iid;same;left;-1.683;-2.499;-2.158;-1.601;2.121;-3.182;4.0;24.0;24.0;4.0;y;y;y;y;1
1;1;iid;same;left;-1.446;-1.297;-0.943;-1.625;2.799;-3.469;4.0;24.0;24.0;4.0;y;y;y;y;1
2;2;iid;same;left;-2.443;-1.991;-2.683;-2.712;2.554;-6.728;8.0;20.0;20.0;8.0;y;y;y;y;1
3;3;iid;same;left;-1.248;-0.778;-0.843;-1.893;2.324;-4.069;9.0;19.0;19.0;9.0;y;y;y;y;1
4;4;iid;same;left;-2.06;-1.808;-2.585;-3.259;2.285;-3.295;4.0;24.0;24.0;4.0;y;y;y;y;1
5;5;iid;same;left;-2.13;-2.875;-2.854;-3.567;2.124;-3.169;0.0;28.0;28.0;0.0;y;y;y;y;1
6;6;iid;same;left;-2.393;-3.241;-3.923;-3.365;2.808;-5.006;1.0;27.0;27.0;1.0;y;y;y;y;1
7;7;iid;same;left;-2.201;-2.965;-2.445;-3.348;2.415;-6.377;3.0;25.0;25.0;3.0;y;y;y;y;1
8;8;iid;same;left;-1.165;-1.122;-1.137;-0.617;2.097;-3.873;10.0;18.0;18.0;10.0;y;y;y;y;1
9;9;iid;same;left;-1.736;-2.591;-2.454;-0.656;2.795;-5.391;5.0;23.0;23.0;5.0;y;y;y;y;1
10;10;iid;same;left;-1.68;-3.437;-3.951;-2.855;3.047;-6.579;3.0;25.0;25.0;3.0;y;y;y;y;1
11;11;iid;same;left;-1.465;-0.556;0.217;-1.257;3.193;-2.972;8.0;20.0;20.0;8.0;y;n;y;y;1
12;12;iid;same;left;-1.326;-0.45;-0.62;-1.756;3.429;-3.281;10.0;18.0;18.0;10.0;y;y;y;y;1
13;13;iid;same;left;-1.672;-2.711;-3.829;-6.331;3.266;-7.675;0.0;28.0;28.0;0.0;y;y;y;y;1
14;14;iid;same;left;-2.49;-1.276;-1.231;-2.452;3.166;-5.991;3.0;25.0;25.0;3.0;y;y;y;y;1
15;15;iid;same;left;-2.091;-2.18;-3.63;-4.589;3.029;-3.017;1.0;27.0;27.0;1.0;y;y;y;y;1
16;16;iid;same;left;-1.372;-1.554;-1.593;-2.926;3.159;-7.001;8.0;20.0;20.0;8.0;y;y;y;y;1
17;17;iid;same;left;-2.413;-2.415;-1.412;-3.687;3.959;-7.381;5.0;23.0;23.0;5.0;y;y;y;y;1
18;18;iid;same;left;-1.874;-3.759;-3.611;-4.789;3.208;-4.809;3.0;25.0;25.0;3.0;y;y;y;y;1
19;19;iid;same;left;-1.424;-1.305;-2.556;-1.752;3.487;-5.649;5.0;23.0;23.0;5.0;y;y;y;y;1
20;20;iid;same;left;-2.269;-2.046;-3.004;-2.25;4.19;-3.056;6.0;22.0;22.0;6.0;y;y;y;y;1
21;21;iid;same;left;-2.158;-4.123;-4.214;-2.859;4.898;-11.931;9.0;19.0;19.0;9.0;y;y;y;y;1
22;22;iid;same;left;-1.173;-0.608;0.616;-0.201;4.669;-3.138;20.0;8.0;8.0;20.0;y;n;y;n;0
23;23;iid;same;left;-2.225;-3.111;-3.651;-1.034;3.998;-3.328;5.0;23.0;23.0;5.0;y;y;y;y;1
24;24;iid;same;left;-1.17;-1.242;-1.876;-2.135;4.164;-2.95;4.0;24.0;24.0;4.0;y;y;y;y;1
25;25;iid;same;left;-1.986;-1.746;-2.961;-3.091;4.231;-3.981;3.0;25.0;25.0;3.0;y;y;y;y;1
26;26;iid;same;left;-1.977;-1.884;-2.913;-4.473;4.673;-8.105;9.0;19.0;19.0;9.0;y;y;y;y;1
27;27;iid;same;left;-2.396;-3.397;-2.604;-3.504;4.131;-3.429;2.0;26.0;26.0;2.0;y;y;y;y;1
28;28;iid;same;left;-2.0;-3.327;-3.374;-2.558;4.495;-4.197;9.0;19.0;19.0;9.0;y;y;y;y;1
29;29;iid;same;left;-1.715;-1.946;-2.333;-4.218;4.49;-14.001;12.0;16.0;16.0;12.0;y;y;y;y;1
30;30;iid;same;left;-1.478;-2.331;-3.425;-5.031;5.2;-7.161;2.0;26.0;26.0;2.0;y;y;y;y;1
31;31;iid;same;left;-2.784;-3.211;-5.003;-6.525;5.736;-13.897;5.0;23.0;23.0;5.0;y;y;y;y;1
32;32;iid;same;left;-2.209;-1.883;-3.484;-2.305;5.047;-5.865;7.0;21.0;21.0;7.0;y;y;y;y;1
33;33;iid;same;left;-2.564;-5.015;-5.886;-5.936;5.19;-4.706;0.0;28.0;28.0;0.0;y;y;y;y;1
34;34;iid;same;left;-2.344;0.569;0.649;0.815;5.221;-4.616;12.0;16.0;16.0;12.0;n;n;n;y;1
35;35;iid;same;left;-2.365;-2.55;-1.886;-2.146;5.075;-7.877;13.0;15.0;15.0;13.0;y;y;y;n;0
36;36;iid;same;left;-2.004;-1.114;0.35;0.179;5.912;-11.991;17.0;11.0;11.0;17.0;y;n;n;n;0
37;37;iid;same;left;-2.018;-0.023;-2.121;-2.655;5.481;-5.674;8.0;20.0;20.0;8.0;y;y;y;y;1
38;38;iid;same;left;-2.868;-4.982;-2.914;-2.635;5.38;-8.417;6.0;22.0;22.0;6.0;y;y;y;y;1
39;39;iid;same;left;-2.785;-4.337;-4.82;-1.752;5.593;-10.583;5.0;23.0;23.0;5.0;y;y;y;y;1
40;40;iid;same;left;-2.144;-1.211;0.654;0.084;6.076;-2.857;16.0;12.0;12.0;16.0;y;n;n;n;0
41;41;iid;same;left;-2.164;-1.034;0.684;-0.933;6.236;-11.804;12.0;16.0;16.0;12.0;y;n;y;y;1
42;42;iid;same;left;-2.063;-2.718;-3.643;-6.818;6.711;-13.663;9.0;19.0;19.0;9.0;y;y;y;y;1
43;43;iid;same;left;-1.857;-2.462;-4.37;-8.394;6.66;-11.962;2.0;26.0;26.0;2.0;y;y;y;y;1
44;44;iid;same;left;-1.838;-0.67;-1.344;-0.32;6.13;-4.335;14.0;14.0;14.0;14.0;y;y;y;n;0
45;45;iid;same;left;-0.894;-1.898;-1.91;-0.98;6.436;-10.068;8.0;20.0;20.0;8.0;y;y;y;y;1
46;46;iid;same;left;-1.222;-0.848;-1.345;-0.724;6.46;-5.232;18.0;10.0;10.0;18.0;y;y;y;n;0
47;47;iid;same;left;-2.194;-3.788;-2.148;-2.617;6.953;-5.806;11.0;17.0;17.0;11.0;y;y;y;y;1
48;48;iid;same;left;-2.124;-2.98;-1.487;-1.272;6.205;-4.733;9.0;19.0;19.0;9.0;y;y;y;y;1
49;49;iid;same;left;-1.849;-1.439;-2.891;-1.981;6.296;-5.053;8.0;20.0;20.0;8.0;y;y;y;y;1
50;0;iid;same;right;1.683;2.499;2.158;1.601;2.121;3.182;27.0;1.0;27.0;1.0;y;y;y;y;1
51;1;iid;same;right;1.446;1.297;0.943;1.625;2.799;3.469;24.0;4.0;24.0;4.0;y;y;y;y;1
52;2;iid;same;right;2.443;1.991;2.683;2.712;2.554;6.728;19.0;9.0;19.0;9.0;y;y;y;y;1
53;3;iid;same;right;1.248;0.778;0.843;1.893;2.324;4.069;26.0;2.0;26.0;2.0;y;y;y;y;1
54;4;iid;same;right;2.06;1.808;2.585;3.259;2.285;3.295;26.0;2.0;26.0;2.0;y;y;y;y;1
55;5;iid;same;right;2.13;2.875;2.854;3.567;2.124;3.169;26.0;2.0;26.0;2.0;y;y;y;y;1
56;6;iid;same;right;2.393;3.241;3.923;3.365;2.808;5.006;26.0;2.0;26.0;2.0;y;y;y;y;1
57;7;iid;same;right;2.201;2.965;2.445;3.348;2.415;6.377;28.0;0.0;28.0;0.0;y;y;y;y;1
58;8;iid;same;right;1.165;1.122;1.137;0.617;2.097;3.873;19.0;9.0;19.0;9.0;y;y;y;y;1
59;9;iid;same;right;1.736;2.591;2.454;0.656;2.795;5.391;23.0;5.0;23.0;5.0;y;y;y;y;1
60;10;iid;same;right;1.68;3.437;3.951;2.855;3.047;6.579;25.0;3.0;25.0;3.0;y;y;y;y;1
61;11;iid;same;right;1.465;0.556;-0.217;1.257;3.193;2.972;25.0;3.0;25.0;3.0;y;n;y;y;1
62;12;iid;same;right;1.326;0.45;0.62;1.756;3.429;3.281;23.0;5.0;23.0;5.0;y;y;y;y;1
63;13;iid;same;right;1.672;2.711;3.829;6.331;3.266;7.675;26.0;2.0;26.0;2.0;y;y;y;y;1
64;14;iid;same;right;2.49;1.276;1.231;2.452;3.166;5.991;25.0;3.0;25.0;3.0;y;y;y;y;1
65;15;iid;same;right;2.091;2.18;3.63;4.589;3.029;3.017;25.0;3.0;25.0;3.0;y;y;y;y;1
66;16;iid;same;right;1.372;1.554;1.593;2.926;3.159;7.001;24.0;4.0;24.0;4.0;y;y;y;y;1
67;17;iid;same;right;2.413;2.415;1.412;3.687;3.959;7.381;25.0;3.0;25.0;3.0;y;y;y;y;1
68;18;iid;same;right;1.874;3.759;3.611;4.789;3.208;4.809;25.0;3.0;25.0;3.0;y;y;y;y;1
69;19;iid;same;right;1.424;1.305;2.556;1.752;3.487;5.649;22.0;6.0;22.0;6.0;y;y;y;y;1
70;20;iid;same;right;2.269;2.046;3.004;2.25;4.19;3.056;25.0;3.0;25.0;3.0;y;y;y;y;1
71;21;iid;same;right;2.158;4.123;4.214;2.859;4.898;11.931;19.0;9.0;19.0;9.0;y;y;y;y;1
72;22;iid;same;right;1.173;0.608;-0.616;0.201;4.669;3.138;14.0;14.0;14.0;14.0;y;n;y;n;0
73;23;iid;same;right;2.225;3.111;3.651;1.034;3.998;3.328;24.0;4.0;24.0;4.0;y;y;y;y;1
74;24;iid;same;right;1.17;1.242;1.876;2.135;4.164;2.95;27.0;1.0;27.0;1.0;y;y;y;y;1
75;25;iid;same;right;1.986;1.746;2.961;3.091;4.231;3.981;26.0;2.0;26.0;2.0;y;y;y;y;1
76;26;iid;same;right;1.977;1.884;2.913;4.473;4.673;8.105;24.0;4.0;24.0;4.0;y;y;y;y;1
77;27;iid;same;right;2.396;3.397;2.604;3.504;4.131;3.429;24.0;4.0;24.0;4.0;y;y;y;y;1
78;28;iid;same;right;2.0;3.327;3.374;2.558;4.495;4.197;26.0;2.0;26.0;2.0;y;y;y;y;1
79;29;iid;same;right;1.715;1.946;2.333;4.218;4.49;14.001;24.0;4.0;24.0;4.0;y;y;y;y;1
80;30;iid;same;right;1.478;2.331;3.425;5.031;5.2;7.161;25.0;3.0;25.0;3.0;y;y;y;y;1
81;31;iid;same;right;2.784;3.211;5.003;6.525;5.736;13.897;24.0;4.0;24.0;4.0;y;y;y;y;1
82;32;iid;same;right;2.209;1.883;3.484;2.305;5.047;5.865;21.0;7.0;21.0;7.0;y;y;y;y;1
83;33;iid;same;right;2.564;5.015;5.886;5.936;5.19;4.706;25.0;3.0;25.0;3.0;y;y;y;y;1
84;34;iid;same;right;2.344;-0.569;-0.649;-0.815;5.221;4.616;13.0;15.0;13.0;15.0;n;n;n;n;0
85;35;iid;same;right;2.365;2.55;1.886;2.146;5.075;7.877;20.0;8.0;20.0;8.0;y;y;y;y;1
86;36;iid;same;right;2.004;1.114;-0.35;-0.179;5.912;11.991;20.0;8.0;20.0;8.0;y;n;n;y;1
87;37;iid;same;right;2.018;0.023;2.121;2.655;5.481;5.674;23.0;5.0;23.0;5.0;y;y;y;y;1
88;38;iid;same;right;2.868;4.982;2.914;2.635;5.38;8.417;24.0;4.0;24.0;4.0;y;y;y;y;1
89;39;iid;same;right;2.785;4.337;4.82;1.752;5.593;10.583;25.0;3.0;25.0;3.0;y;y;y;y;1
90;40;iid;same;right;2.144;1.211;-0.654;-0.084;6.076;2.857;17.0;11.0;17.0;11.0;y;n;n;y;1
91;41;iid;same;right;2.164;1.034;-0.684;0.933;6.236;11.804;16.0;12.0;16.0;12.0;y;n;y;y;1
92;42;iid;same;right;2.063;2.718;3.643;6.818;6.711;13.663;23.0;5.0;23.0;5.0;y;y;y;y;1
93;43;iid;same;right;1.857;2.462;4.37;8.394;6.66;11.962;25.0;3.0;25.0;3.0;y;y;y;y;1
94;44;iid;same;right;1.838;0.67;1.344;0.32;6.13;4.335;15.0;13.0;15.0;13.0;y;y;y;n;0
95;45;iid;same;right;0.894;1.898;1.91;0.98;6.436;10.068;19.0;9.0;19.0;9.0;y;y;y;y;1
96;46;iid;same;right;1.222;0.848;1.345;0.724;6.46;5.232;18.0;10.0;18.0;10.0;y;y;y;y;1
97;47;iid;same;right;2.194;3.788;2.148;2.617;6.953;5.806;21.0;7.0;21.0;7.0;y;y;y;y;1
98;48;iid;same;right;2.124;2.98;1.487;1.272;6.205;4.733;22.0;6.0;22.0;6.0;y;y;y;y;1
99;49;iid;same;right;1.849;1.439;2.891;1.981;6.296;5.053;18.0;10.0;18.0;10.0;y;y;y;y;1
